시군구별(1),시군구별(2),일반입원실,중환자실,격리병실
광주,소계,10273,26,32
광주,동구,1417,15,17
광주,서구,1826,2,2
광주,남구,1614,3,5
광주,북구,3052,1,-
광주,광산구,2364,5,8
전북,소계,9305,31,69
전북,전주시,4345,21,37
전북,군산시,1048,2,3
전북,익산시,1377,6,5
전북,정읍시,496,1,-
전북,남원시,374,-,5
전북,김제시,491,-,18
전북,완주군,319,-,-
전북,진안군,82,-,-
전북,무주군,44,-,-
전북,장수군,13,-,-
전북,임실군,104,-,-
전북,순창군,136,-,1
전북,고창군,263,-,-
전북,부안군,213,1,-
전남,소계,9709,31,58
전남,목포시,1794,6,17
전남,여수시,1396,3,9
전남,순천시,1630,9,11
전남,나주시,731,-,-
전남,광양시,294,1,-
전남,담양군,294,-,-
전남,곡성군,54,-,-
전남,구례군,157,-,-
전남,고흥군,535,1,2
전남,보성군,208,-,-
전남,화순군,941,6,8
전남,장흥군,131,-,-
전남,강진군,113,-,-
전남,해남군,282,2,7
전남,영암군,178,-,-
전남,무안군,302,1,-
전남,함평군,168,-,4
전남,영광군,197,2,-
전남,장성군,123,-,-
전남,완도군,35,-,-
전남,진도군,62,-,-
전남,신안군,84,-,-
대전,소계,5609,245,4
대전,동구,714,18,-
대전,중구,1233,88,2
대전,서구,2066,48,2
대전,유성구,938,60,-
대전,대덕구,658,31,-
충북,소계,4727,568,2
충북,청주시,2520,180,2
충북,충주시,665,27,-
충북,제천시,496,55,-
충북,보은군,96,26,-
충북,옥천군,169,28,-
충북,영동군,149,-,-
충북,증평군,100,-,-
충북,진천군,131,18,-
충북,괴산군,66,11,-
충북,음성군,244,223,-
충북,단양군,91,-,-
충남,소계,5785,559,2
충남,천안시,2070,145,2
충남,공주시,489,65,-
충남,보령시,225,22,-
충남,아산시,643,151,-
충남,서산시,277,-,-
충남,논산시,570,39,-
충남,계룡시,73,-,-
충남,당진시,270,7,-
충남,금산군,124,-,-
충남,부여군,210,37,-
충남,서천군,268,-,-
충남,청양군,51,-,-
충남,홍성군,257,86,-
충남,예산군,128,7,-
충남,태안군,130,-,-
부산,소계,15862,88,95
부산,중구,428,4,5
부산,서구,1272,22,21
부산,동구,736,8,2
부산,영도구,380,2,1
부산,부산진구,1750,25,17
부산,동래구,1391,3,5
부산,남구,753,3,2
부산,북구,1033,2,2
부산,해운대구,1460,4,3
부산,사하구,1637,1,-
부산,금정구,1286,7,2
부산,강서구,106,-,-
부산,연제구,996,1,8
부산,수영구,1042,2,18
부산,사상구,1001,2,8
부산,기장군,591,2,1
대구,소계,7738,49,50
대구,중구,1068,18,16
대구,동구,770,6,6
대구,서구,638,1,11
대구,남구,1172,17,6
대구,북구,1370,3,6
대구,수성구,832,-,1
대구,달서구,1486,4,4
대구,달성군,402,-,-
울산,소계,3688,14,9
울산,중구,581,7,4
울산,남구,1479,1,-
울산,동구,579,5,5
울산,북구,370,-,-
울산,울주군,679,1,-
경북,소계,8836,47,81
경북,포항시,2250,18,18
경북,경주시,879,2,9
경북,김천시,330,2,2
경북,안동시,1103,8,11
경북,구미시,939,5,6
경북,영주시,481,3,9
경북,영천시,253,1,-
경북,상주시,221,2,4
경북,문경시,286,3,8
경북,경산시,695,2,6
경북,군위군,4,-,-
경북,의성군,289,-,-
경북,청송군,30,-,-
경북,영양군,12,-,-
경북,영덕군,54,-,-
경북,청도군,247,-,1
경북,고령군,63,-,2
경북,성주군,138,-,-
경북,칠곡군,223,-,-
경북,예천군,190,1,1
경북,봉화군,46,-,-
경북,울진군,88,-,4
경북,울릉군,15,-,-
경남,소계,13163,50,89
경남,창원시,4283,25,57
경남,진주시,1396,7,7
경남,통영시,451,-,4
경남,사천시,476,1,1
경남,김해시,2426,5,-
경남,밀양시,536,1,1
경남,거제시,689,2,-
경남,양산시,1534,8,13
경남,의령군,81,-,1
경남,함안군,257,-,-
경남,창녕군,316,-,-
경남,고성군,123,-,-
경남,남해군,92,-,-
경남,하동군,151,-,2
경남,산청군,4,-,-
경남,함양군,34,-,-
경남,거창군,201,1,3
경남,합천군,113,-,-
서울,소계,22895,624,42
서울,종로구,962,24,2
서울,중구,409,-,1
서울,용산구,270,6,1
서울,성동구,481,4,1
서울,광진구,624,71,1
서울,동대문구,1182,90,2
서울,중랑구,742,36,1
서울,성북구,831,8,1
서울,강북구,562,-,-
서울,도봉구,505,74,1
서울,노원구,944,24,2
서울,은평구,661,30,-
서울,서대문구,1113,9,1
서울,마포구,232,-,-
서울,양천구,726,2,11
서울,강서구,1061,45,1
서울,구로구,1019,42,1
서울,금천구,440,32,-
서울,영등포구,1245,29,3
서울,동작구,703,5,2
서울,관악구,666,-,-
서울,서초구,1149,16,2
서울,강남구,3027,11,4
서울,송파구,1924,43,2
서울,강동구,1417,23,2
인천,소계,7194,456,6
인천,중구,464,5,2
인천,동구,193,6,-
인천,미추홀구,1257,70,1
인천,연수구,480,-,-
인천,남동구,1460,68,1
인천,부평구,1185,47,1
인천,계양구,874,71,-
인천,서구,1103,123,-
인천,강화군,164,66,1
인천,옹진군,14,-,-
경기,소계,29077,2200,29
경기,수원시,2703,183,4
경기,성남시,2503,63,7
경기,의정부시,1060,146,1
경기,안양시,1085,39,1
경기,부천시,2609,165,3
경기,광명시,581,20,1
경기,평택시,983,49,-
경기,동두천시,434,37,-
경기,안산시,2176,110,1
경기,고양시,2689,171,7
경기,과천시,1,-,-
경기,구리시,576,24,2
경기,남양주시,1361,82,-
경기,오산시,534,94,-
경기,시흥시,957,-,-
경기,군포시,529,36,-
경기,의왕시,211,174,-
경기,하남시,233,11,-
경기,용인시,1741,227,0
경기,파주시,932,41,-
경기,이천시,427,93,-
경기,안성시,435,50,-
경기,김포시,706,99,-
경기,화성시,1196,88,2
경기,광주시,513,-,-
경기,양주시,558,61,-
경기,포천시,317,42,-
경기,여주시,313,60,-
경기,연천군,100,-,-
경기,가평군,246,35,-
경기,양평군,368,-,-
강원,소계,3997,317,6
강원,춘천시,831,117,3
강원,원주시,1208,77,2
강원,강릉시,630,74,1
강원,동해시,299,34,-
강원,태백시,129,-,-
강원,속초시,213,12,-
강원,삼척시,120,-,-
강원,홍천군,158,3,-
강원,횡성군,48,-,-
강원,영월군,87,-,-
강원,평창군,59,-,-
강원,정선군,51,-,-
강원,철원군,76,-,-
강원,화천군,16,-,-
강원,양구군,40,-,-
강원,인제군,32,-,-
강원,고성군,-,-,-
강원,양양군,-,-,-
