행정구역별(시군구),계,종교있음-계,불교,기독교(개신교),기독교(천주교),원불교,유교,천도교,대순진리회,대종교,기타,종교없음-계
전국,49052389,21553674,7619332,9675761,3890311,84141,75703,65964,41176,3101,98185,27498715
동부,40149544,17653158,5909181,8093988,3365702,64954,46110,54509,34306,2357,82051,22496386
읍부,4409546,1880088,790806,779010,276408,8333,8615,5136,3212,274,8294,2529458
면부,4493299,2020428,919345,802763,248201,10854,20978,6319,3658,470,7840,2472871
서울특별시,9444796,4386827,1023721,2286305,1012892,11977,10810,15343,6866,554,18359,5057969
부산광역시,3359946,1574615,958683,407659,180815,4755,2974,3117,4119,220,12273,1785331
대구광역시,2402746,1061583,571511,288540,185546,1207,2386,2538,3024,202,6629,1341163
인천광역시,2783565,1170740,244467,642515,265369,2671,3383,5167,1462,165,5541,1612825
광주광역시,1461127,569103,139030,292140,126284,3360,2676,1971,1657,67,1918,892024
대전광역시,1499520,657379,209450,327421,110724,2401,1487,2048,1866,109,1873,842141
울산광역시,1120525,510345,333441,122159,47448,971,905,1016,678,72,3655,610180
세종특별자치시,197651,83373,27374,39328,15528,236,232,278,76,10,311,114278
경기도,11869038,5140688,1267172,2729767,1065430,12674,18312,18106,8228,601,20398,6728350
강원도,1475324,609373,242579,258660,98521,1448,3560,1315,1195,86,2009,865951
충청북도,1528981,611888,250007,241747,112512,1007,1907,1801,1406,97,1404,917093
충청남도,2012492,832092,277823,416916,124602,2189,3972,2798,1218,126,2448,1180400
전라북도,1782291,802240,152742,480150,132948,27010,3573,2209,1527,141,1940,980051
전라남도,1741499,708931,189332,404287,97533,5554,6980,1688,1377,119,2061,1032568
경상북도,2590042,1154305,654091,345238,135299,1644,5534,3051,2836,278,6334,1435737
경상남도,3200207,1435772,941750,334671,132817,4255,5954,2786,3366,254,9919,1764435
제주특별자치도,582639,244420,136159,58258,46043,782,1058,732,275,,1113,338219
